,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1114,2019-01-02 11:42:07.974,135.928,135.99,260,7500,2019-01-02,5218182,135.98792268041237,135.959,0.06200000000001182,66.1389999999985,-3,135.80192268041233,135.84977503676362,Facebook
1220,2019-01-02 11:47:59.503,135.937,135.983,17,150,2019-01-02,5214599,135.97831736526948,135.96,0.04599999999999227,69.5060000000008,9,136.3923173652694,135.9659391217565,Facebook
1262,2019-01-02 11:52:24.160,136.218,136.243,17,75,2019-01-02,5217796,136.2383804347826,136.2305,0.025000000000005684,70.30200000000085,5,136.36338043478264,136.1608884198951,Facebook
1331,2019-01-02 11:57:00.986,136.281,136.312,17,220,2019-01-02,5212347,136.30977637130803,136.2965,0.03100000000000591,71.74000000000035,36,137.42577637130825,136.2630049744065,Facebook
1250,2019-01-02 12:01:26.240,135.187,135.259,10100,7500,2019-01-02,5220985,135.21768181818183,135.223,0.0719999999999743,66.12200000000064,-1,135.14568181818186,135.59237090637316,Facebook
1274,2019-01-02 12:07:04.045,135.057,135.099,260,7500,2019-01-02,5219728,135.09759278350512,135.07799999999997,0.04200000000000159,71.57100000000003,-15,134.4675927835051,135.23887792094695,Facebook
1206,2019-01-02 12:13:05.054,135.047,135.073,17,370,2019-01-02,5210665,135.07185788113696,135.06,0.02600000000001046,69.42900000000023,19,135.56585788113716,135.13761373735696,Facebook
1258,2019-01-02 12:29:31.487,135.268,135.312,17,150,2019-01-02,5208273,135.30752095808384,135.29000000000002,0.04400000000001114,66.23900000000143,-11,134.82352095808372,135.11271836814174,Facebook
1329,2019-01-02 12:39:16.569,135.907,135.962,260,7500,2019-01-02,5225021,135.96015721649482,135.9345,0.0549999999999784,70.03000000000009,52,138.8201572164937,135.7434184760614,Facebook
1283,2019-01-02 12:44:16.115,136.208,136.248,100,7500,2019-01-02,5217821,136.24747368421052,136.228,0.03999999999999204,69.14300000000026,52,138.3274736842101,135.9970699790521,Facebook
1347,2019-01-02 12:49:56.912,136.261,136.312,17,94,2019-01-02,5220323,136.3041891891892,136.2865,0.051000000000016144,76.46200000000027,12,136.9161891891894,136.2155914307713,Facebook
