,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1258,2019-01-02 12:01:28.179,135.217,135.269,100,7500,2019-01-02,5267336,135.2683157894737,135.243,0.0519999999999925,66.56800000000064,1,135.32031578947368,135.6092488968038,Facebook
1258,2019-01-02 12:07:01.654,135.088,135.117,260,7500,2019-01-02,5122303,135.11602835051545,135.1025,0.028999999999996362,70.94899999999998,-15,134.6810283505155,135.25199028986404,Facebook
1258,2019-01-02 12:13:29.395,134.997,135.061,100,7500,2019-01-02,5577038,135.06015789473685,135.029,0.06399999999999295,72.51700000000037,21,136.4041578947367,135.13371374189026,Facebook
1258,2019-01-02 12:29:31.487,135.268,135.312,17,150,2019-01-02,5208273,135.30752095808384,135.29000000000002,0.04400000000001114,66.23900000000143,-11,134.82352095808372,135.11271836814174,Facebook
1258,2019-01-02 12:34:38.553,135.637,135.683,200,370,2019-01-02,5005402,135.6668596491228,135.66,0.04599999999999227,65.81800000000084,39,137.4608596491225,135.4355331206805,Facebook
1258,2019-01-02 12:38:48.030,135.859,135.902,17,75,2019-01-02,4928281,135.89405434782608,135.88049999999998,0.042999999999977945,66.36799999999977,53,138.17305434782492,135.71503534706423,Facebook
1258,2019-01-02 12:44:03.727,136.087,136.143,100,21,2019-01-02,5116078,136.09671900826444,136.115,0.056000000000011596,67.82000000000019,47,138.728719008265,135.94681842040345,Facebook
1258,2019-01-02 12:49:20.853,136.217,136.283,260,120,2019-01-02,4810709,136.23784210526318,136.25,0.06599999999997408,71.3510000000004,15,137.2278421052628,136.19347573612933,Facebook
1258,2019-01-02 12:54:30.817,136.257,136.353,10200,1120,2019-01-02,5488725,136.26649823321557,136.305,0.09600000000000364,74.7960000000005,11,137.3224982332156,136.32252573025983,Facebook
1258,2019-01-02 12:59:31.904,136.267,136.343,17,75,2019-01-02,6270062,136.32895652173912,136.305,0.0759999999999934,76.14999999999998,17,137.620956521739,136.2901717340437,Facebook
1258,2019-01-02 13:03:35.386,136.188,136.262,260,75,2019-01-02,7089846,136.2045671641791,136.225,0.07400000000001228,73.18000000000032,1,136.27856716417912,136.27472719832306,Facebook
1258,2019-01-02 13:08:48.226,136.357,136.373,110,7500,2019-01-02,6747452,136.37276872536134,136.365,0.015999999999991132,70.32500000000033,9,136.51676872536126,136.40546839559394,Facebook
1258,2019-01-02 13:14:31.092,136.167,136.253,260,150,2019-01-02,5753584,136.19846341463415,136.20999999999998,0.08599999999998431,71.80799999999934,-7,135.59646341463426,136.27604660414275,Facebook
1258,2019-01-02 13:19:50.720,136.387,136.453,260,150,2019-01-02,5584435,136.41114634146342,136.42000000000002,0.0660000000000025,76.3399999999996,-13,135.5531463414634,136.27861988987877,Facebook
1258,2019-01-02 13:24:57.868,136.741,136.782,17,7,2019-01-02,5645666,136.75295833333334,136.7615,0.04099999999999682,70.67500000000067,17,137.44995833333329,136.55233746579862,Facebook
1258,2019-01-02 13:29:08.970,136.91,136.973,17,7650,2019-01-02,5750042,136.9728603104213,136.94150000000002,0.0630000000000166,69.54400000000004,27,138.67386031042176,136.82076815131367,Facebook
1258,2019-01-02 13:33:48.843,137.258,137.289,260,7500,2019-01-02,5465038,137.28796134020615,137.2735,0.03099999999997749,72.87099999999961,-25,136.51296134020672,137.05552978235966,Facebook
1258,2019-01-02 13:38:29.756,136.908,136.992,260,7650,2019-01-02,5687801,136.9892389380531,136.95,0.08400000000000318,74.28799999999984,-19,135.39323893805303,137.00640148321006,Facebook
1258,2019-01-02 13:44:34.134,136.928,136.992,260,150,2019-01-02,5285886,136.95141463414635,136.95999999999998,0.06399999999999295,75.48599999999988,-41,134.32741463414663,136.97034976912525,Facebook
