,timestamp,bid,ask,bid_vol,ask_vol,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1102,2019-01-03 14:29:16.084,143.377,143.411,120,7500,4992900,143.41046456692914,143.394,0.033999999999991815,41.62800000000229,11,143.78446456692905,143.28705975693836,Google
1054,2019-01-03 14:33:46.975,143.617,143.652,120,7500,4999305,143.65144881889765,143.6345,0.03499999999999659,41.43400000000025,1,143.68644881889765,143.56998430774436,Google
1026,2019-01-03 14:38:26.499,143.528,143.562,120,160,4998338,143.54742857142855,143.54500000000002,0.034000000000020236,39.24299999999948,11,143.92142857142878,143.5957752876392,Google
975,2019-01-03 14:43:45.974,143.288,143.322,120,1250,4993033,143.31902189781022,143.305,0.033999999999991815,36.9719999999993,-14,142.84302189781033,143.46847129145354,Google
926,2019-01-03 14:48:09.250,143.018,143.052,1,450,4999885,143.05192461197336,143.035,0.033999999999991815,34.51399999999896,-11,142.67792461197345,143.180142882483,Google
980,2019-01-03 14:53:02.606,143.008,143.038,330,7500,4997853,143.0367356321839,143.02300000000002,0.030000000000001137,37.050999999998794,29,143.90673563218394,143.00621658788535,Google
938,2019-01-03 14:57:06.119,142.49,142.523,330,4570,4998835,142.5207775510204,142.50650000000002,0.03299999999998704,36.08099999999948,5,142.68577755102032,142.69789353270392,Google
1010,2019-01-03 15:01:32.752,142.5,142.532,330,75,4997107,142.50592592592594,142.51600000000002,0.03200000000001069,38.34299999999976,-7,142.28192592592586,142.5826304150178,Google
1018,2019-01-03 15:05:49.521,142.377,142.423,120,1120,4997906,142.41854838709676,142.4,0.04599999999999227,37.73700000000068,5,142.64854838709672,142.43772373069586,Google
1012,2019-01-03 15:10:11.694,142.137,142.158,100,7500,4983122,142.1577236842105,142.14749999999998,0.020999999999986585,37.39500000000197,-25,141.63272368421084,142.24781856896652,Google
959,2019-01-03 15:13:23.632,142.179,142.223,330,7500,4993661,142.22114559386975,142.20100000000002,0.04400000000001114,37.7500000000006,-30,140.90114559386942,142.20766872038772,Google
1000,2019-01-03 15:17:22.285,142.128,142.172,120,610,4994566,142.16476712328767,142.14999999999998,0.04400000000001114,38.385999999999456,7,142.47276712328775,142.17043216647446,Google
1026,2019-01-03 15:21:01.668,142.266,142.272,120,7500,4999668,142.271905511811,142.269,0.006000000000000227,38.357000000000085,17,142.37390551181102,142.24778991598475,Google
1066,2019-01-03 15:25:07.273,142.078,142.122,120,82,4999854,142.0958613861386,142.10000000000002,0.04400000000001114,40.11400000000006,5,142.31586138613866,142.15561033517585,Google
958,2019-01-03 15:28:40.178,142.818,142.853,330,10100,4996292,142.85189261744966,142.83550000000002,0.03499999999999659,37.364000000001,61,144.98689261744946,142.57753007606144,Google
997,2019-01-03 15:32:10.953,143.027,143.069,10000,7500,4994966,143.045,143.048,0.04200000000000159,38.00600000000088,8,143.381,142.7767714127577,Google
